Start - 2018-08-08
14:38:18: 55: ** ERROR ** : RecordType: AAAA | RequestId: 28834 | SrcIP: 176.10.99.200  |  SrcPort: 18329  |  Domain: ns.dnstestsuite.space
14:38:18: 56: ** ERROR ** : RecordType: AAAA | RequestId: 43563 | SrcIP: 176.10.99.200  |  SrcPort: 7581  |  Domain: ns2.dnstestsuite.space
14:38:18: 57: ** ERROR ** : RecordType: AAAA | RequestId: 11435 | SrcIP: 176.10.99.200  |  SrcPort: 35735  |  Domain: ns.dnstestsuite.space
14:38:18: 58: ** ERROR ** : RecordType: AAAA | RequestId: 1976 | SrcIP: 176.10.99.200  |  SrcPort: 51682  |  Domain: ns2.dnstestsuite.space
14:38:18: 59: ** ERROR ** : RecordType: AAAA | RequestId: 16718 | SrcIP: 176.10.99.200  |  SrcPort: 38519  |  Domain: ns.dnstestsuite.space
14:38:23: 60: ** ERROR ** : RecordType: AAAA | RequestId: 16523 | SrcIP: 176.10.99.200  |  SrcPort: 65132  |  Domain: ns2.dnstestsuite.space
14:38:23: 61: ** ERROR ** : RecordType: AAAA | RequestId: 64063 | SrcIP: 176.10.99.200  |  SrcPort: 24183  |  Domain: ns.dnstestsuite.space
14:38:24: 62: RecordType: A | RequestId: 63357 | SrcIP: 176.10.99.200  |  SrcPort: 59518  |  Domain: ns2.dnstestsuite.space
14:38:24: 63: RecordType: A | RequestId: 55676 | SrcIP: 176.10.99.200  |  SrcPort: 63467  |  Domain: ns.dnstestsuite.space
14:38:24: 64: ** ERROR ** : RecordType: AAAA | RequestId: 24219 | SrcIP: 176.10.99.200  |  SrcPort: 20375  |  Domain: ns.dnstestsuite.space
14:38:24: 65: ** ERROR ** : RecordType: AAAA | RequestId: 64087 | SrcIP: 176.10.99.200  |  SrcPort: 27983  |  Domain: ns.dnstestsuite.space
14:38:24: 66: ** ERROR ** : RecordType: AAAA | RequestId: 62067 | SrcIP: 176.10.99.200  |  SrcPort: 26469  |  Domain: ns.dnstestsuite.space
14:38:24: 67: ** ERROR ** : RecordType: AAAA | RequestId: 42167 | SrcIP: 176.10.99.200  |  SrcPort: 14070  |  Domain: ns.dnstestsuite.space
14:38:24: 68: ** ERROR ** : RecordType: AAAA | RequestId: 24033 | SrcIP: 176.10.99.200  |  SrcPort: 25874  |  Domain: ns.dnstestsuite.space
14:38:25: 69: RecordType: A | RequestId: 62716 | SrcIP: 176.10.99.200  |  SrcPort: 40559  |  Domain: 73_176-10-99-206.DnsTesTSUiTE.spACe
14:38:25: 70: ** ERROR ** : RecordType: AAAA | RequestId: 11296 | SrcIP: 176.10.99.200  |  SrcPort: 57813  |  Domain: ns.dnstestsuite.space
14:38:36: 71: RecordType: A | RequestId: 1044 | SrcIP: 176.10.99.200  |  SrcPort: 33722  |  Domain: 75_176-10-99-206.DNsTESTsuitE.spAce
14:38:36: 72: RecordType: A | RequestId: 59681 | SrcIP: 176.10.99.200  |  SrcPort: 25033  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 73: RecordType: A | RequestId: 64054 | SrcIP: 176.10.99.200  |  SrcPort: 13205  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 74: ** ERROR ** : RecordType: AAAA | RequestId: 31402 | SrcIP: 176.10.99.200  |  SrcPort: 39416  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 75: ** ERROR ** : RecordType: AAAA | RequestId: 40469 | SrcIP: 176.10.99.200  |  SrcPort: 35242  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 76: ** ERROR ** : RecordType: AAAA | RequestId: 29053 | SrcIP: 176.10.99.200  |  SrcPort: 21472  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 77: ** ERROR ** : RecordType: AAAA | RequestId: 30645 | SrcIP: 176.10.99.200  |  SrcPort: 28896  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 78: ** ERROR ** : RecordType: AAAA | RequestId: 46901 | SrcIP: 176.10.99.200  |  SrcPort: 32616  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 79: ** ERROR ** : RecordType: AAAA | RequestId: 25715 | SrcIP: 176.10.99.200  |  SrcPort: 34512  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 80: ** ERROR ** : RecordType: AAAA | RequestId: 16746 | SrcIP: 176.10.99.200  |  SrcPort: 64542  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 81: ** ERROR ** : RecordType: AAAA | RequestId: 16079 | SrcIP: 176.10.99.200  |  SrcPort: 63294  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 82: ** ERROR ** : RecordType: AAAA | RequestId: 2765 | SrcIP: 176.10.99.200  |  SrcPort: 32281  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 83: ** ERROR ** : RecordType: AAAA | RequestId: 53284 | SrcIP: 176.10.99.200  |  SrcPort: 33119  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 84: ** ERROR ** : RecordType: AAAA | RequestId: 44562 | SrcIP: 176.10.99.200  |  SrcPort: 62870  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 85: ** ERROR ** : RecordType: AAAA | RequestId: 301 | SrcIP: 176.10.99.200  |  SrcPort: 43857  |  Domain: ns.DNsTESTsuitE.spAce
14:38:36: 86: RecordType: A | RequestId: 45201 | SrcIP: 176.10.99.200  |  SrcPort: 21550  |  Domain: ns2.DNsTESTsuitE.spAce
14:38:36: 87: RecordType: A | RequestId: 45539 | SrcIP: 176.10.99.200  |  SrcPort: 22541  |  Domain: ns.DNsTESTsuitE.spAce
14:38:58: 88: RecordType: A | RequestId: 21377 | SrcIP: 176.10.99.200  |  SrcPort: 44746  |  Domain: 76_176-10-99-206.dNsTEstsUIte.SpACE
14:38:58: 89: RecordType: A | RequestId: 10622 | SrcIP: 176.10.99.200  |  SrcPort: 28281  |  Domain: ns2.dnstestsuite.space
14:38:58: 90: RecordType: A | RequestId: 33452 | SrcIP: 176.10.99.200  |  SrcPort: 11992  |  Domain: ns.dnstestsuite.space
14:38:58: 91: ** ERROR ** : RecordType: AAAA | RequestId: 21556 | SrcIP: 176.10.99.200  |  SrcPort: 41844  |  Domain: ns2.dnstestsuite.space
14:38:58: 92: ** ERROR ** : RecordType: AAAA | RequestId: 7967 | SrcIP: 176.10.99.200  |  SrcPort: 15181  |  Domain: ns.dnstestsuite.space
14:38:58: 93: ** ERROR ** : RecordType: AAAA | RequestId: 12130 | SrcIP: 176.10.99.200  |  SrcPort: 26939  |  Domain: ns2.dnstestsuite.space
14:38:58: 94: ** ERROR ** : RecordType: AAAA | RequestId: 30794 | SrcIP: 176.10.99.200  |  SrcPort: 29833  |  Domain: ns.dnstestsuite.space
14:38:58: 95: ** ERROR ** : RecordType: AAAA | RequestId: 39883 | SrcIP: 176.10.99.200  |  SrcPort: 63028  |  Domain: ns2.dnstestsuite.space
14:38:58: 96: ** ERROR ** : RecordType: AAAA | RequestId: 63765 | SrcIP: 176.10.99.200  |  SrcPort: 64077  |  Domain: ns.dnstestsuite.space
