Start - 2018-08-09
00:57:51: 85: RecordType: A | RequestId: 3701 | SrcIP: 82.196.193.202  |  SrcPort: 39014  |  Domain: 24_31-185-27-203.dnStESTsUItE.sPaCE
00:57:52: 86: RecordType: A | RequestId: 10257 | SrcIP: 82.196.193.202  |  SrcPort: 64457  |  Domain: 25_31-185-27-203.dNstESTSUITe.sPaCe
00:58:32: 87: ** ERROR ** : RecordType: AAAA | RequestId: 3712 | SrcIP: 82.196.193.202  |  SrcPort: 55841  |  Domain: ns.dnstestsuite.space
00:58:33: 88: ** ERROR ** : RecordType: AAAA | RequestId: 45437 | SrcIP: 82.196.193.202  |  SrcPort: 32764  |  Domain: ns.dnstestsuite.space
00:58:33: 89: ** ERROR ** : RecordType: AAAA | RequestId: 42344 | SrcIP: 82.196.193.202  |  SrcPort: 45109  |  Domain: ns.dnstestsuite.space
00:58:33: 90: ** ERROR ** : RecordType: AAAA | RequestId: 55465 | SrcIP: 82.196.193.204  |  SrcPort: 60610  |  Domain: ns.dnstestsuite.space
00:58:33: 91: ** ERROR ** : RecordType: AAAA | RequestId: 10571 | SrcIP: 82.196.193.204  |  SrcPort: 26027  |  Domain: ns.dnstestsuite.space
00:58:33: 92: ** ERROR ** : RecordType: AAAA | RequestId: 64984 | SrcIP: 82.196.193.202  |  SrcPort: 58634  |  Domain: ns2.dnstestsuite.space
00:58:33: 93: ** ERROR ** : RecordType: AAAA | RequestId: 7923 | SrcIP: 82.196.193.202  |  SrcPort: 4973  |  Domain: ns2.dnstestsuite.space
00:58:33: 94: ** ERROR ** : RecordType: AAAA | RequestId: 62235 | SrcIP: 82.196.193.202  |  SrcPort: 16523  |  Domain: ns2.dnstestsuite.space
00:58:33: 95: ** ERROR ** : RecordType: AAAA | RequestId: 30098 | SrcIP: 82.196.193.204  |  SrcPort: 20256  |  Domain: ns2.dnstestsuite.space
00:58:33: 96: ** ERROR ** : RecordType: AAAA | RequestId: 55648 | SrcIP: 82.196.193.204  |  SrcPort: 52129  |  Domain: ns2.dnstestsuite.space
00:58:34: 97: RecordType: A | RequestId: 9532 | SrcIP: 82.196.193.202  |  SrcPort: 64806  |  Domain: 27_31-185-27-203.dnSteStsuITE.SPACe
00:58:34: 98: RecordType: A | RequestId: 46787 | SrcIP: 82.196.193.204  |  SrcPort: 46822  |  Domain: 28_31-185-27-203.dNsTESTsUITe.sPACE
00:58:35: 99: RecordType: A | RequestId: 50129 | SrcIP: 82.196.193.202  |  SrcPort: 15243  |  Domain: 29_31-185-27-203.DnSteStSuITE.spAcE
00:58:35: 100: RecordType: A | RequestId: 33828 | SrcIP: 82.196.193.202  |  SrcPort: 53134  |  Domain: 30_31-185-27-203.dnSteSTSUiTE.spACE
00:58:36: 101: RecordType: A | RequestId: 13023 | SrcIP: 82.196.193.204  |  SrcPort: 37282  |  Domain: 31_31-185-27-203.DNSTeSTSUItE.SpaCe
00:58:37: 102: RecordType: A | RequestId: 46752 | SrcIP: 82.196.193.202  |  SrcPort: 42931  |  Domain: 32_31-185-27-203.DnSTeSTSUiTe.SpACe
00:58:37: 103: RecordType: A | RequestId: 15989 | SrcIP: 82.196.193.202  |  SrcPort: 24538  |  Domain: 33_31-185-27-203.dNSTEstSUITe.SPACE
00:58:38: 104: RecordType: A | RequestId: 49885 | SrcIP: 82.196.193.204  |  SrcPort: 14775  |  Domain: 34_31-185-27-203.DNstesTsuITe.SPACe
00:58:39: 105: ** ERROR ** : RecordType: AAAA | RequestId: 14449 | SrcIP: 82.196.193.204  |  SrcPort: 17057  |  Domain: ns.dnstestsuite.space
00:58:39: 106: ** ERROR ** : RecordType: AAAA | RequestId: 287 | SrcIP: 82.196.193.202  |  SrcPort: 39462  |  Domain: ns.dnstestsuite.space
00:58:39: 107: ** ERROR ** : RecordType: AAAA | RequestId: 17832 | SrcIP: 82.196.193.204  |  SrcPort: 18230  |  Domain: ns.dnstestsuite.space
00:58:39: 108: ** ERROR ** : RecordType: AAAA | RequestId: 25983 | SrcIP: 82.196.193.202  |  SrcPort: 57412  |  Domain: ns.dnstestsuite.space
00:58:39: 109: ** ERROR ** : RecordType: AAAA | RequestId: 9085 | SrcIP: 82.196.193.202  |  SrcPort: 18989  |  Domain: ns.dnstestsuite.space
00:58:39: 110: ** ERROR ** : RecordType: AAAA | RequestId: 43046 | SrcIP: 82.196.193.204  |  SrcPort: 37714  |  Domain: ns2.dnstestsuite.space
00:58:40: 111: ** ERROR ** : RecordType: AAAA | RequestId: 35837 | SrcIP: 82.196.193.202  |  SrcPort: 11643  |  Domain: ns2.dnstestsuite.space
00:58:40: 112: ** ERROR ** : RecordType: AAAA | RequestId: 12617 | SrcIP: 82.196.193.204  |  SrcPort: 62536  |  Domain: ns2.dnstestsuite.space
00:58:40: 113: ** ERROR ** : RecordType: AAAA | RequestId: 44275 | SrcIP: 82.196.193.202  |  SrcPort: 42862  |  Domain: ns2.dnstestsuite.space
00:58:40: 114: ** ERROR ** : RecordType: AAAA | RequestId: 64797 | SrcIP: 82.196.193.204  |  SrcPort: 26589  |  Domain: ns2.dnstestsuite.space
00:58:40: 115: RecordType: A | RequestId: 30247 | SrcIP: 82.196.193.202  |  SrcPort: 22024  |  Domain: 35_31-185-27-203.dnstEStsuiTE.sPACE
00:58:41: 116: RecordType: A | RequestId: 870 | SrcIP: 82.196.193.204  |  SrcPort: 39007  |  Domain: 36_31-185-27-203.dnStEstSuITe.spACE
00:58:41: 117: RecordType: A | RequestId: 20608 | SrcIP: 82.196.193.204  |  SrcPort: 41259  |  Domain: 37_31-185-27-203.DnstestsUiTe.SPaCe
00:58:42: 118: RecordType: A | RequestId: 41021 | SrcIP: 82.196.193.204  |  SrcPort: 47763  |  Domain: 38_31-185-27-203.dnstEstSuiTe.spaCe
00:58:43: 119: RecordType: A | RequestId: 32694 | SrcIP: 82.196.193.204  |  SrcPort: 13063  |  Domain: 39_31-185-27-203.dNsTEStSuITE.Space
00:58:43: 120: RecordType: A | RequestId: 61347 | SrcIP: 82.196.193.202  |  SrcPort: 16437  |  Domain: 40_31-185-27-203.dNSTESTSuItE.spaCe
00:58:44: 121: RecordType: A | RequestId: 3543 | SrcIP: 82.196.193.204  |  SrcPort: 24310  |  Domain: 41_31-185-27-203.dNSTEsTSuiTE.space
00:58:45: 122: RecordType: A | RequestId: 64093 | SrcIP: 82.196.193.204  |  SrcPort: 41360  |  Domain: 42_31-185-27-203.dNsTeStsUitE.SPace
00:58:45: 123: RecordType: A | RequestId: 1190 | SrcIP: 82.196.193.204  |  SrcPort: 18762  |  Domain: 43_31-185-27-203.DNSTEsTSUite.SPacE
00:58:46: 124: ** ERROR ** : RecordType: AAAA | RequestId: 19233 | SrcIP: 82.196.193.202  |  SrcPort: 18761  |  Domain: ns2.dnstestsuite.space
00:58:46: 125: ** ERROR ** : RecordType: AAAA | RequestId: 6089 | SrcIP: 82.196.193.202  |  SrcPort: 54875  |  Domain: ns2.dnstestsuite.space
00:58:46: 126: ** ERROR ** : RecordType: AAAA | RequestId: 2363 | SrcIP: 82.196.193.202  |  SrcPort: 21120  |  Domain: ns2.dnstestsuite.space
00:58:46: 127: ** ERROR ** : RecordType: AAAA | RequestId: 3455 | SrcIP: 82.196.193.204  |  SrcPort: 36379  |  Domain: ns2.dnstestsuite.space
00:58:46: 128: ** ERROR ** : RecordType: AAAA | RequestId: 45642 | SrcIP: 82.196.193.204  |  SrcPort: 39597  |  Domain: ns2.dnstestsuite.space
00:58:46: 129: ** ERROR ** : RecordType: AAAA | RequestId: 26951 | SrcIP: 82.196.193.202  |  SrcPort: 29058  |  Domain: ns.dnstestsuite.space
00:58:47: 130: ** ERROR ** : RecordType: AAAA | RequestId: 27603 | SrcIP: 82.196.193.204  |  SrcPort: 32306  |  Domain: ns.dnstestsuite.space
00:58:47: 131: ** ERROR ** : RecordType: AAAA | RequestId: 10045 | SrcIP: 82.196.193.204  |  SrcPort: 26723  |  Domain: ns.dnstestsuite.space
00:58:47: 132: ** ERROR ** : RecordType: AAAA | RequestId: 59381 | SrcIP: 82.196.193.204  |  SrcPort: 33677  |  Domain: ns.dnstestsuite.space
00:58:47: 133: ** ERROR ** : RecordType: AAAA | RequestId: 52464 | SrcIP: 82.196.193.204  |  SrcPort: 25517  |  Domain: ns.dnstestsuite.space
00:58:47: 134: RecordType: A | RequestId: 5942 | SrcIP: 82.196.193.204  |  SrcPort: 60276  |  Domain: 44_31-185-27-203.DnSTeSTSuitE.SPACe
00:58:48: 135: RecordType: A | RequestId: 45301 | SrcIP: 82.196.193.204  |  SrcPort: 45917  |  Domain: 45_31-185-27-203.dnsTESTSUItE.sPace
00:58:48: 136: RecordType: A | RequestId: 23228 | SrcIP: 82.196.193.204  |  SrcPort: 64935  |  Domain: 46_31-185-27-203.dNsteStsUIte.SpACe
00:58:49: 137: RecordType: A | RequestId: 301 | SrcIP: 82.196.193.204  |  SrcPort: 46528  |  Domain: 47_31-185-27-203.dNSTEStSUITE.spAcE
00:58:50: 138: RecordType: A | RequestId: 3679 | SrcIP: 82.196.193.202  |  SrcPort: 24826  |  Domain: 48_31-185-27-203.dNsTeSTsuitE.SPAcE
00:58:51: 139: RecordType: A | RequestId: 11107 | SrcIP: 82.196.193.202  |  SrcPort: 33382  |  Domain: 49_31-185-27-203.DNSTEsTsuite.SpACE
00:58:51: 140: RecordType: A | RequestId: 25715 | SrcIP: 82.196.193.202  |  SrcPort: 21106  |  Domain: 50_31-185-27-203.DnsTeStsUiTE.spaCe
00:58:52: 141: ** ERROR ** : RecordType: AAAA | RequestId: 22101 | SrcIP: 82.196.193.202  |  SrcPort: 48010  |  Domain: ns2.dnstestsuite.space
00:58:52: 142: ** ERROR ** : RecordType: AAAA | RequestId: 6032 | SrcIP: 82.196.193.204  |  SrcPort: 47357  |  Domain: ns2.dnstestsuite.space
00:58:52: 143: ** ERROR ** : RecordType: AAAA | RequestId: 40616 | SrcIP: 82.196.193.202  |  SrcPort: 33043  |  Domain: ns2.dnstestsuite.space
00:58:52: 144: ** ERROR ** : RecordType: AAAA | RequestId: 26935 | SrcIP: 82.196.193.204  |  SrcPort: 32208  |  Domain: ns2.dnstestsuite.space
00:58:52: 145: ** ERROR ** : RecordType: AAAA | RequestId: 61665 | SrcIP: 82.196.193.204  |  SrcPort: 26953  |  Domain: ns2.dnstestsuite.space
00:58:53: 146: RecordType: A | RequestId: 43369 | SrcIP: 82.196.193.202  |  SrcPort: 51557  |  Domain: 51_31-185-27-203.DNSTestsuiTe.SPacE
00:58:53: 147: ** ERROR ** : RecordType: AAAA | RequestId: 64031 | SrcIP: 82.196.193.202  |  SrcPort: 9490  |  Domain: ns.dnstestsuite.space
00:58:53: 148: ** ERROR ** : RecordType: AAAA | RequestId: 30911 | SrcIP: 82.196.193.204  |  SrcPort: 38204  |  Domain: ns.dnstestsuite.space
00:58:53: 149: ** ERROR ** : RecordType: AAAA | RequestId: 22336 | SrcIP: 82.196.193.204  |  SrcPort: 57333  |  Domain: ns.dnstestsuite.space
00:58:54: 150: ** ERROR ** : RecordType: AAAA | RequestId: 43412 | SrcIP: 82.196.193.204  |  SrcPort: 10364  |  Domain: ns.dnstestsuite.space
00:58:54: 151: ** ERROR ** : RecordType: AAAA | RequestId: 24174 | SrcIP: 82.196.193.202  |  SrcPort: 41521  |  Domain: ns.dnstestsuite.space
00:58:54: 152: RecordType: A | RequestId: 21486 | SrcIP: 82.196.193.202  |  SrcPort: 64333  |  Domain: 52_31-185-27-203.dNSTESTsuiTe.SpAcE
00:58:54: 153: RecordType: A | RequestId: 57715 | SrcIP: 82.196.193.204  |  SrcPort: 45463  |  Domain: 53_31-185-27-203.DnsteSTsUitE.sPace
00:58:55: 154: RecordType: A | RequestId: 18577 | SrcIP: 82.196.193.204  |  SrcPort: 45323  |  Domain: 54_31-185-27-203.DNsTESTSuITe.SPacE
00:58:56: 155: RecordType: A | RequestId: 5253 | SrcIP: 82.196.193.204  |  SrcPort: 45994  |  Domain: 55_31-185-27-203.dnstEstsUITE.spAcE
00:58:56: 156: RecordType: A | RequestId: 27031 | SrcIP: 82.196.193.202  |  SrcPort: 10147  |  Domain: 56_31-185-27-203.DnsTeSTSUITe.sPace
00:58:57: 157: RecordType: A | RequestId: 16064 | SrcIP: 82.196.193.204  |  SrcPort: 49952  |  Domain: 57_31-185-27-203.dNSTeSTSUite.sPACE
00:58:58: 158: ** ERROR ** : RecordType: AAAA | RequestId: 53086 | SrcIP: 82.196.193.204  |  SrcPort: 27973  |  Domain: ns2.dnstestsuite.space
00:58:58: 159: ** ERROR ** : RecordType: AAAA | RequestId: 63255 | SrcIP: 82.196.193.202  |  SrcPort: 21711  |  Domain: ns2.dnstestsuite.space
00:58:58: 160: ** ERROR ** : RecordType: AAAA | RequestId: 19637 | SrcIP: 82.196.193.204  |  SrcPort: 8903  |  Domain: ns2.dnstestsuite.space
00:58:58: 161: ** ERROR ** : RecordType: AAAA | RequestId: 38902 | SrcIP: 82.196.193.204  |  SrcPort: 56938  |  Domain: ns2.dnstestsuite.space
00:58:58: 162: ** ERROR ** : RecordType: AAAA | RequestId: 12742 | SrcIP: 82.196.193.202  |  SrcPort: 45186  |  Domain: ns2.dnstestsuite.space
00:58:58: 163: RecordType: A | RequestId: 11958 | SrcIP: 82.196.193.204  |  SrcPort: 6139  |  Domain: 58_31-185-27-203.dnSTEStSUITE.sPAcE
00:58:59: 164: RecordType: A | RequestId: 21364 | SrcIP: 82.196.193.202  |  SrcPort: 21794  |  Domain: 59_31-185-27-203.DnSteSTsuItE.spAcE
00:59:00: 165: ** ERROR ** : RecordType: AAAA | RequestId: 13028 | SrcIP: 82.196.193.202  |  SrcPort: 41899  |  Domain: ns.dnstestsuite.space
