Start - 2018-07-17
00:16:58: 107: RecordType: A | RequestId: 13299 | SrcIP: 139.99.130.178  |  SrcPort: 10808  |  Domain : 69_139-99-130-178.dNsTEstsUItE.spaCE
00:17:00: 108: RecordType: A | RequestId: 2055 | SrcIP: 139.99.128.97  |  SrcPort: 20320  |  Domain : 70_139-99-130-178.DnSteSTsuITe.sPACE
00:17:01: 109: RecordType: A | RequestId: 36282 | SrcIP: 172.217.42.8  |  SrcPort: 35559  |  Domain : 71_139-99-130-178.DnSTesTSUITE.spacE
00:17:03: 110: RecordType: A | RequestId: 44056 | SrcIP: 139.99.130.178  |  SrcPort: 58062  |  Domain : 72_139-99-130-178.dNStesTsUIte.SpaCE
00:17:04: 111: RecordType: A | RequestId: 38457 | SrcIP: 74.125.41.82  |  SrcPort: 35167  |  Domain : 73_139-99-130-178.dnsTESTSUite.sPace
00:17:06: 112: RecordType: A | RequestId: 46711 | SrcIP: 139.99.128.97  |  SrcPort: 32332  |  Domain : 74_139-99-130-178.dnsTEstSUITE.spaCE
00:17:07: 113: RecordType: A | RequestId: 47636 | SrcIP: 74.125.41.19  |  SrcPort: 59716  |  Domain : 75_139-99-130-178.dnstEStSuITE.SpaCE
00:17:08: 114: RecordType: A | RequestId: 25933 | SrcIP: 139.99.130.178  |  SrcPort: 57820  |  Domain : 76_139-99-130-178.dNstesTsUite.SPACE
00:17:10: 115: RecordType: A | RequestId: 58357 | SrcIP: 139.99.128.97  |  SrcPort: 52795  |  Domain : 77_139-99-130-178.DNSTEstsuiTe.sPAcE
00:17:11: 116: RecordType: A | RequestId: 19395 | SrcIP: 74.125.41.1  |  SrcPort: 49929  |  Domain : 78_139-99-130-178.DNStesTsuitE.spACE
00:17:13: 117: RecordType: A | RequestId: 14129 | SrcIP: 139.99.130.178  |  SrcPort: 14774  |  Domain : 79_139-99-130-178.dNsTEStsUItE.SPACe
00:17:14: 118: RecordType: A | RequestId: 46482 | SrcIP: 139.99.128.97  |  SrcPort: 33169  |  Domain : 80_139-99-130-178.DnSTeStsUITE.sPAcE
00:17:15: 119: RecordType: A | RequestId: 31440 | SrcIP: 74.125.41.66  |  SrcPort: 56497  |  Domain : 81_139-99-130-178.DNStEsTSUItE.SPAcE
00:17:17: 120: RecordType: A | RequestId: 36316 | SrcIP: 139.99.130.178  |  SrcPort: 19327  |  Domain : 82_139-99-130-178.DnsTestSuiTE.sPacE
00:17:18: 121: RecordType: A | RequestId: 34427 | SrcIP: 139.99.128.97  |  SrcPort: 31154  |  Domain : 83_139-99-130-178.dnsTestSUitE.sPAce
00:17:20: 122: RecordType: A | RequestId: 53447 | SrcIP: 173.194.171.5  |  SrcPort: 59788  |  Domain : 84_139-99-130-178.dnsTEsTSUIte.spAce
00:17:21: 123: RecordType: A | RequestId: 52447 | SrcIP: 139.99.130.178  |  SrcPort: 53806  |  Domain : 85_139-99-130-178.DNsteStSUitE.SpaCE
00:17:23: 124: RecordType: A | RequestId: 25926 | SrcIP: 139.99.128.97  |  SrcPort: 59345  |  Domain : 86_139-99-130-178.DnsteStsuite.SPaCE
00:17:24: 125: RecordType: A | RequestId: 63035 | SrcIP: 74.125.41.21  |  SrcPort: 49198  |  Domain : 87_139-99-130-178.DNSteSTSUIte.sPACe
00:17:25: 126: RecordType: A | RequestId: 24548 | SrcIP: 139.99.130.178  |  SrcPort: 58653  |  Domain : 88_139-99-130-178.DNSTEstSuItE.SpAce
00:17:27: 127: RecordType: A | RequestId: 14037 | SrcIP: 139.99.128.97  |  SrcPort: 7486  |  Domain : 89_139-99-130-178.DnSTESTSuitE.spACE
00:17:28: 128: RecordType: A | RequestId: 1035 | SrcIP: 74.125.41.90  |  SrcPort: 65066  |  Domain : 90_139-99-130-178.dNStEStSUIte.sPAce
00:17:30: 129: RecordType: A | RequestId: 17361 | SrcIP: 139.99.130.178  |  SrcPort: 13541  |  Domain : 91_139-99-130-178.dnsTeStSuiTE.sPace
00:17:31: 130: RecordType: A | RequestId: 35879 | SrcIP: 139.99.128.97  |  SrcPort: 47712  |  Domain : 92_139-99-130-178.DnStEStSuiTe.sPaCe
00:17:33: 131: RecordType: A | RequestId: 25246 | SrcIP: 172.217.42.13  |  SrcPort: 36633  |  Domain : 93_139-99-130-178.DnSTEsTSuitE.spAcE
00:17:34: 132: RecordType: A | RequestId: 13034 | SrcIP: 139.99.130.178  |  SrcPort: 18030  |  Domain : 94_139-99-130-178.DNsTEsTsuItE.sPACE
00:17:36: 133: RecordType: A | RequestId: 28779 | SrcIP: 139.99.128.97  |  SrcPort: 10763  |  Domain : 95_139-99-130-178.dNsTeStSuIte.sPACE
00:17:37: 134: RecordType: A | RequestId: 38741 | SrcIP: 74.125.41.3  |  SrcPort: 38513  |  Domain : 96_139-99-130-178.DNsTeStsuITE.SPacE
00:17:38: 135: RecordType: A | RequestId: 22760 | SrcIP: 139.99.130.178  |  SrcPort: 33095  |  Domain : 97_139-99-130-178.DnsTeStSUITe.spaCE
00:17:40: 136: RecordType: A | RequestId: 26770 | SrcIP: 139.99.128.97  |  SrcPort: 65318  |  Domain : 98_139-99-130-178.DNSteSTSuite.Space
00:17:42: 137: RecordType: A | RequestId: 1445 | SrcIP: 74.125.41.91  |  SrcPort: 39504  |  Domain : 99_139-99-130-178.DNSTEstSUITE.SpaCE
00:17:46: 138: RecordType: A | RequestId: 20478 | SrcIP: 195.10.208.2  |  SrcPort: 37002  |  Domain : 80-241-60-207.dNsTESTsuIte.SpACE
00:17:46: 139: RecordType: A | RequestId: 7568 | SrcIP: 80.241.59.2  |  SrcPort: 52381  |  Domain : 1_80-241-60-207.DnStEStsUITE.SpacE
00:17:47: 140: RecordType: A | RequestId: 29172 | SrcIP: 91.198.250.2  |  SrcPort: 36852  |  Domain : 2_80-241-60-207.DnSteSTSUITE.spAce
00:17:47: 141: RecordType: A | RequestId: 35944 | SrcIP: 195.10.208.2  |  SrcPort: 39498  |  Domain : 3_80-241-60-207.dnSTestsuite.spACE
