Start - 2018-08-10
00:01:24: 25794: RecordType: A | RequestId: 41303 | SrcIP: 74.125.74.12  |  SrcPort: 64142  |  Domain: 85_212-19-17-213.dnSTesTsUITE.spACE
00:01:25: 25795: RecordType: A | RequestId: 51822 | SrcIP: 74.125.46.11  |  SrcPort: 56525  |  Domain: 86_212-19-17-213.DnStEstSuite.SPACe
00:01:27: 25796: RecordType: A | RequestId: 6575 | SrcIP: 173.194.98.14  |  SrcPort: 61692  |  Domain: 87_212-19-17-213.dNSteStsuiTe.sPaCE
00:01:28: 25797: RecordType: A | RequestId: 11135 | SrcIP: 74.125.74.6  |  SrcPort: 43849  |  Domain: 88_212-19-17-213.DnSTesTSUIte.sPaCE
00:01:29: 25798: RecordType: A | RequestId: 57079 | SrcIP: 74.125.46.5  |  SrcPort: 59923  |  Domain: 89_212-19-17-213.dNSteSTSuiTe.spAce
00:01:31: 25799: RecordType: A | RequestId: 51391 | SrcIP: 74.125.74.6  |  SrcPort: 56405  |  Domain: 90_212-19-17-213.DnstEStSuiTE.SPAce
00:01:32: 25800: RecordType: A | RequestId: 945 | SrcIP: 74.125.46.9  |  SrcPort: 53355  |  Domain: 91_212-19-17-213.DNSteSTsuiTe.sPaCE
00:01:33: 25801: RecordType: A | RequestId: 35857 | SrcIP: 74.125.74.13  |  SrcPort: 64509  |  Domain: 92_212-19-17-213.DnsTEStsuitE.spacE
00:01:35: 25802: RecordType: A | RequestId: 10437 | SrcIP: 74.125.74.14  |  SrcPort: 42759  |  Domain: 93_212-19-17-213.dNSTEStSuiTE.SPaCE
00:01:36: 25803: RecordType: A | RequestId: 10178 | SrcIP: 74.125.74.2  |  SrcPort: 42742  |  Domain: 94_212-19-17-213.dnstESTsuItE.SPacE
00:01:37: 25804: RecordType: A | RequestId: 38258 | SrcIP: 173.194.98.7  |  SrcPort: 57330  |  Domain: 95_212-19-17-213.DnsteStsuITE.SpaCe
00:01:39: 25805: RecordType: A | RequestId: 20836 | SrcIP: 173.194.98.4  |  SrcPort: 39253  |  Domain: 96_212-19-17-213.DNstEStsuite.spaCe
00:01:40: 25806: RecordType: A | RequestId: 50330 | SrcIP: 74.125.74.7  |  SrcPort: 59296  |  Domain: 97_212-19-17-213.DNSTEsTSuiTe.SpAcE
00:01:42: 25807: RecordType: A | RequestId: 29179 | SrcIP: 74.125.74.1  |  SrcPort: 46674  |  Domain: 98_212-19-17-213.DNSTEstSuITE.sPACE
00:01:43: 25808: RecordType: A | RequestId: 48473 | SrcIP: 74.125.74.2  |  SrcPort: 47588  |  Domain: 99_212-19-17-213.dNSTeStSUiTE.spACE
00:01:47: 25809: RecordType: A | RequestId: 37192 | SrcIP: 162.158.82.184  |  SrcPort: 63165  |  Domain: 104-244-78-207.dNsteSTSUite.SpAce
00:01:48: 25810: RecordType: A | RequestId: 28464 | SrcIP: 162.158.82.184  |  SrcPort: 32000  |  Domain: 1_104-244-78-207.DnstESTsUiTe.spAcE
00:01:48: 25811: RecordType: A | RequestId: 34451 | SrcIP: 162.158.82.184  |  SrcPort: 53775  |  Domain: 2_104-244-78-207.DNSTeStSUITe.spACE
00:01:49: 25812: RecordType: A | RequestId: 34631 | SrcIP: 162.158.82.184  |  SrcPort: 55732  |  Domain: 3_104-244-78-207.DnstestSuItE.SPacE
00:01:49: 25813: RecordType: A | RequestId: 35497 | SrcIP: 162.158.82.184  |  SrcPort: 40095  |  Domain: 4_104-244-78-207.DnstESTsUITe.SpAcE
00:01:50: 25814: RecordType: A | RequestId: 14476 | SrcIP: 162.158.82.184  |  SrcPort: 23233  |  Domain: 5_104-244-78-207.DnSTestSUItE.spaCE
00:01:51: 25815: RecordType: A | RequestId: 39025 | SrcIP: 162.158.82.184  |  SrcPort: 55491  |  Domain: 6_104-244-78-207.dNSteStsUItE.SPAcE
00:01:51: 25816: RecordType: A | RequestId: 39025 | SrcIP: 162.158.82.184  |  SrcPort: 10600  |  Domain: 6_104-244-78-207.dNSteStsUItE.SPAcE
00:01:51: 25817: RecordType: A | RequestId: 36029 | SrcIP: 162.158.82.184  |  SrcPort: 28093  |  Domain: 7_104-244-78-207.dNStEstSuItE.SPace
00:01:52: 25818: RecordType: A | RequestId: 52057 | SrcIP: 162.158.82.184  |  SrcPort: 61977  |  Domain: 8_104-244-78-207.dNsteSTsUITE.sPaCe
00:01:52: 25819: RecordType: A | RequestId: 40377 | SrcIP: 162.158.82.184  |  SrcPort: 40342  |  Domain: 9_104-244-78-207.DnStestSuIte.SPAcE
00:01:53: 25820: RecordType: A | RequestId: 623 | SrcIP: 162.158.82.184  |  SrcPort: 15211  |  Domain: 10_104-244-78-207.dNsteSTsUITE.spACe
00:01:53: 25821: RecordType: A | RequestId: 623 | SrcIP: 162.158.82.184  |  SrcPort: 32766  |  Domain: 10_104-244-78-207.dNsteSTsUITE.spACe
00:01:53: 25822: RecordType: A | RequestId: 36019 | SrcIP: 162.158.82.184  |  SrcPort: 21014  |  Domain: 11_104-244-78-207.DnsTeStsUiTe.SPaCe
00:01:54: 25823: RecordType: A | RequestId: 1058 | SrcIP: 162.158.82.184  |  SrcPort: 64787  |  Domain: 12_104-244-78-207.DnsteStsuItE.SpAcE
00:01:54: 25824: RecordType: A | RequestId: 44730 | SrcIP: 162.158.82.184  |  SrcPort: 30273  |  Domain: 13_104-244-78-207.dNSTesTSUITe.SPACE
00:01:55: 25825: RecordType: A | RequestId: 17792 | SrcIP: 162.158.82.184  |  SrcPort: 10252  |  Domain: 14_104-244-78-207.DnsteStSuITe.SpACE
00:01:56: 25826: RecordType: A | RequestId: 32850 | SrcIP: 162.158.82.184  |  SrcPort: 12882  |  Domain: 15_104-244-78-207.DNsTEStsuITE.sPacE
00:01:56: 25827: RecordType: A | RequestId: 31461 | SrcIP: 162.158.82.184  |  SrcPort: 35590  |  Domain: 16_104-244-78-207.DnSTEStSuItE.sPaCe
00:01:57: 25828: RecordType: A | RequestId: 59590 | SrcIP: 162.158.82.184  |  SrcPort: 38140  |  Domain: 17_104-244-78-207.DnstESTsuiTe.spACE
00:01:57: 25829: RecordType: A | RequestId: 35017 | SrcIP: 162.158.82.184  |  SrcPort: 31675  |  Domain: 18_104-244-78-207.DNstESTSuite.SpaCE
00:01:58: 25830: RecordType: A | RequestId: 65074 | SrcIP: 162.158.82.184  |  SrcPort: 27755  |  Domain: 19_104-244-78-207.DNsTESTsuITe.spaCe
00:01:58: 25831: RecordType: A | RequestId: 20317 | SrcIP: 162.158.82.184  |  SrcPort: 56281  |  Domain: 20_104-244-78-207.DNSTEsTSuIte.SPaCe
00:01:59: 25832: RecordType: A | RequestId: 20317 | SrcIP: 162.158.82.184  |  SrcPort: 49165  |  Domain: 20_104-244-78-207.DNSTEsTSuIte.SPaCe
00:01:59: 25833: RecordType: A | RequestId: 54672 | SrcIP: 162.158.82.184  |  SrcPort: 51881  |  Domain: 21_104-244-78-207.DnsTEstSuItE.SPaCE
00:02:00: 25834: RecordType: A | RequestId: 19333 | SrcIP: 162.158.82.184  |  SrcPort: 27132  |  Domain: 22_104-244-78-207.DnsTeStsUitE.SpAce
00:02:00: 25835: RecordType: A | RequestId: 37350 | SrcIP: 162.158.82.184  |  SrcPort: 36429  |  Domain: 23_104-244-78-207.DNstEStsuite.SpACe
00:02:01: 25836: RecordType: A | RequestId: 24110 | SrcIP: 162.158.82.184  |  SrcPort: 10385  |  Domain: 24_104-244-78-207.DnSTeStSuite.sPACE
00:02:01: 25837: RecordType: A | RequestId: 24110 | SrcIP: 162.158.82.184  |  SrcPort: 27972  |  Domain: 24_104-244-78-207.DnSTeStSuite.sPACE
00:02:01: 25838: RecordType: A | RequestId: 19828 | SrcIP: 162.158.82.184  |  SrcPort: 45776  |  Domain: 25_104-244-78-207.dnsTEstSuite.SPace
00:02:02: 25839: RecordType: A | RequestId: 6545 | SrcIP: 162.158.82.184  |  SrcPort: 23925  |  Domain: 26_104-244-78-207.DNsteSTsUITe.spACE
00:02:02: 25840: RecordType: A | RequestId: 61279 | SrcIP: 162.158.82.184  |  SrcPort: 55143  |  Domain: 27_104-244-78-207.dNsteSTSUIte.SPacE
00:02:03: 25841: RecordType: A | RequestId: 39014 | SrcIP: 162.158.82.184  |  SrcPort: 36795  |  Domain: 28_104-244-78-207.DnStEstSUITE.space
00:02:03: 25842: RecordType: A | RequestId: 39014 | SrcIP: 162.158.82.184  |  SrcPort: 24267  |  Domain: 28_104-244-78-207.DnStEstSUITE.space
